ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
11206305391678525446,NO JOKE I WILL HOP ON A PLANE RN! (Well after COVID19 lol),1,0,0,0,0,0,0,0,0,0,1
11230609758053879814,BanMediaHouse whose is responsible for spreading Fake and communal Stories in this pandemic Corona situation.,0,0,0,0,0,0,1,0,0,0,0
11206637360668016664,Im waiting for someone to say to me that all this corona thing is just an April fools joke,0,0,0,1,1,0,0,0,0,0,0
11206335967964872719,He is a liar. Proven day night. Time again. Lies when the truth will do. COVID19,0,0,0,0,0,0,1,0,0,0,0
11206742431293849624,"NEW: U.S. CoronaVirus death toll reaches 4,000 after nearly 900 new deaths were reported today (BNO News) Covid19 CoronaVirusOutbreak",0,0,0,0,0,0,0,0,1,0,0
11207195477844701190,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",0,0,0,0,0,1,0,0,1,0,0
11206327631610581016,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",0,0,0,0,0,0,1,1,1,0,0
11207284517449654278,"Dear Chinese! Kindly cook your bat thoroughly next time. Regards, COVID19 CoronaVirusUpdates CoronaVirus",0,0,0,0,0,1,0,0,0,0,1
11230666536644775951,This is how the govt of kenya is checking the temperatures of COVID19 and saying it is still low. Mtashangaa sana.,0,0,0,1,0,0,1,0,0,1,0
11207238503288094726,"My mental health hasn't suffered at all under the coronavirus quarantine! Ha-ha, April Fools.",0,0,0,0,0,0,0,0,0,0,1
11206348884751601670,i cannot die before watching a concert live corona virus pls try to understand,0,0,0,0,0,1,0,0,0,0,1
11207079996458471439,"you are a complete wanker, and I hope you die from coronavirus. You're a fucking dickhead.",0,0,0,0,0,0,1,0,0,0,0
11230743478194487302,Has anyone elses FB ads been killing it since this coronavirus hit?,1,0,0,0,0,1,0,0,0,0,1
11206557627902484486,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",0,0,0,0,1,1,0,0,0,0,0
11206275648808292412,That moment you realize your new medication has side effects identical to corona virus symptoms how will I know?,0,0,0,0,1,0,0,0,0,1,0
11206895904894947469,books and wine are two of the greatest pleasures. Perfect for seeing us through covid19. Stay safe.,0,1,0,0,0,0,0,0,0,0,1
11207078358390300687,"Three teams are fighting Covid19 day night: 1: Doctors, Nurses, Policemen. 2: Khans PR team. 3: IT cell",1,1,0,0,0,0,0,0,0,0,0
